,Date,Month,station,station elevation,Precipitation,Downward Long Wave Rad Flux,Downward Short Wave Rad Flux,Air Pressure,Water precipitation,Humidity,Cloud cover,Temperature,Upward Long wave Rad,Upward Long wave Rad Atmos,Upward Short Wave Rad,Max Temperature
0,20050101,01,HINT,493,122.12000000476837,232655.20703125,48010.0,67069826.0,14283.812438964844,6.377589046955109,6.549166778723399,15862.920654296875,257883.0078125,146324.9384765625,8775.0,15903.641764322916
1,20050102,01,HINT,493,205.79000043869019,235791.162109375,55910.0,67298614.5,17168.335083007812,6.394113659858704,15.09916639328003,15864.267171223959,259417.984375,121673.30859375,9278.0,15902.177001953125
2,20050103,01,HINT,493,740.1999855041504,231617.2890625,82970.0,67348028.5,16797.600341796875,5.546969711780548,7.0549999078114825,15768.031575520834,253955.4609375,154372.404296875,16153.0,15767.19970703125
3,20050104,01,HINT,493,2080.1799926757812,228650.1953125,32798.0,67175896.0,21019.107543945312,4.521408587694168,26.138334194819134,15482.608154296875,232968.3125,125524.5908203125,6223.0,15497.127034505209
4,20050105,01,HINT,493,1793.990089416504,186375.5390625,97000.0,67590169.5,8579.307373046875,1.4963325634598732,12.545000076293945,14786.329833984375,199873.8544921875,111598.3046875,44597.0,14864.71142578125
5,20050106,01,HINT,493,0.0,140197.5234375,149091.0,67440848.0,3954.7569885253906,1.0394232273101807,0.19916666050752005,14996.644612630209,206063.078125,152885.078125,33689.0,14873.90966796875
6,20050107,01,HINT,493,2.570000035688281,167519.453125,138252.0,67102779.0,5474.018829345703,1.987711101770401,3.3433333734671273,15162.935465494791,216113.921875,147553.6796875,35618.0,15206.947428385416
7,20050108,01,HINT,493,0.0,158896.6171875,146182.0,67632539.5,7223.653137207031,2.088442236185074,0.08333333193634947,15180.667561848959,214609.57421875,159392.05078125,37453.0,15212.141764322916
8,20050109,01,HINT,493,0.0,187781.7421875,138772.0,67288406.5,7933.485290527344,3.846596986055374,1.6749998182058334,15585.606689453125,239855.40625,153743.1328125,32041.0,15711.030436197916
9,20050110,01,HINT,493,7.929999714717269,212634.7734375,87170.0,66935865.0,12435.477600097656,5.141227811574936,11.460833470026651,15768.038248697916,250308.3046875,107792.857421875,14813.0,15839.656575520834
10,20050111,01,HINT,493,21.969999700784683,195643.146484375,120846.0,66671204.0,10272.2431640625,3.666593909263611,2.629166613022486,15583.017008463541,241281.93359375,155910.421875,24863.0,15582.28125
11,20050112,01,HINT,493,96.35000239312649,211099.517578125,107731.0,65843401.0,9885.135803222656,4.162798494100571,12.789166748523712,15763.728352864584,253562.640625,124246.0830078125,22098.0,15888.748209635416
12,20050113,01,HINT,493,0.4399999976158142,151662.859375,156271.0,67438434.5,3106.334182739258,1.6312438175082207,0.014166666194796562,15277.022542317709,223542.0234375,165407.0234375,35097.0,15292.203043619791
13,20050114,01,HINT,493,0.0,150220.17578125,140719.0,68206952.5,3645.0451049804688,1.4295742809772491,2.223333199818929,15120.433837890625,212997.8984375,144304.4453125,29452.0,15074.982340494791
14,20050115,01,HINT,493,0.019999999552965164,142493.671875,153517.0,68657427.0,4824.9476318359375,0.8870188891887665,0.04333333127821485,14935.50439453125,203921.7265625,153270.53125,33505.0,14863.929036458334
15,20050116,01,HINT,493,0.0,136869.7978515625,156526.0,68862933.0,3489.7116088867188,0.7914670333266258,0.4058333070327838,14867.880289713541,199882.23828125,152571.2109375,34240.0,14775.983154296875
16,20050117,01,HINT,493,0.0,147474.7109375,155562.0,68531066.5,6318.162048339844,0.9151634350419044,0.024166666592160862,14998.110514322916,206073.171875,154052.8203125,33795.0,14953.661214192709
17,20050118,01,HINT,493,0.0,156692.8359375,156535.0,68182656.5,6252.385650634766,1.853609785437584,0.02999999870856603,15162.025797526041,213841.2265625,161640.83984375,33926.0,15175.285074869791
18,20050119,01,HINT,493,0.0,181426.765625,152786.0,67750930.5,11414.271545410156,3.270269215106964,0.047500000490496554,15462.679361979166,233091.25,165321.515625,32771.0,15517.07958984375
19,20050120,01,HINT,493,0.0,189577.56640625,156536.0,67181613.0,9191.812194824219,3.8564531207084656,0.0,15699.731038411459,248055.015625,176453.80859375,33548.0,15800.65771484375
20,20050121,01,HINT,493,2.3699998185038567,194526.1328125,142234.0,66805178.5,8505.5908203125,3.9254622757434845,2.6108331978321075,15744.205322265625,249077.9375,151107.86328125,28812.0,15859.021891276041
21,20050122,01,HINT,493,0.0,157723.5234375,167196.0,68054763.5,3854.111541748047,1.4336177483201027,0.13666666066274047,15296.432535807291,228903.203125,161822.6640625,36635.0,15376.063883463541
22,20050123,01,HINT,493,0.0,147357.26953125,166228.0,68113676.0,4869.416687011719,0.9470060840249062,0.006666666207214196,15138.001057942709,212872.751953125,161745.50390625,36033.0,15090.049397786459
23,20050124,01,HINT,493,0.0,178350.0,158298.0,67340859.5,9097.763305664062,2.1521220058202744,0.7233332904676596,15492.204671223959,232791.859375,161857.5537109375,33328.0,15553.660237630209
24,20050125,01,HINT,493,0.2800000011920929,192758.369140625,162723.0,66655285.0,9560.713317871094,3.7996044158935547,0.23083332041278481,15771.695149739584,251957.71875,176457.2177734375,34411.0,15845.216796875
25,20050126,01,HINT,493,0.0,180725.265625,161172.0,67351124.5,8286.609069824219,3.244697630405426,1.4708332568407059,15621.948404947916,244391.7421875,160831.25390625,33648.0,15636.964680989584
26,20050127,01,HINT,493,233.72998809814453,202033.3310546875,76094.0,67689114.0,10956.384948730469,2.583097755908966,13.05999986330668,15336.419189453125,226519.125,119998.74609375,12727.0,15305.557942708334
27,20050128,01,HINT,493,1603.0699462890625,206624.8828125,60909.0,67468343.5,10332.087829589844,2.8957036286592484,20.22166681289673,15167.281168619791,216671.26171875,129427.650390625,25131.0,15179.001790364584
28,20050129,01,HINT,493,14.15999986231327,170580.77734375,170215.0,67459217.0,8465.685180664062,2.636885777115822,0.18666665938993296,15313.250651041666,224407.34375,161247.322265625,48064.0,15270.200602213541
29,20050130,01,HINT,493,405.18001079559326,187074.576171875,76672.0,67538326.0,9131.161865234375,2.579090565443039,11.93666676680247,15195.192464192709,216280.2734375,145458.203125,20019.0,15178.426432291666
30,20050131,01,HINT,493,42.339997477829456,175211.5263671875,149749.0,67774396.0,6871.710205078125,2.610996514558792,1.590833142399788,15203.881184895834,216672.486328125,159076.9296875,49472.0,15185.913981119791
31,20050201,02,HINT,493,234.5399923324585,197470.2431640625,76325.0,67828269.5,7440.82958984375,2.5933488309383392,11.895833492279053,15205.192464192709,217729.94140625,136634.15234375,21266.0,15188.666666666666
